id,serviceAdvisorId,technicianIds,customerId,carPlaceId,status,cost,createdDate,startDate,loadingDate,endDate
0,0,0,0,0,PENDING,0,2025-09-20 14:00,2025-09-21 09:00,2025-09-21 09:10,2025-09-21 11:00
1,0,1,0,1,PENDING,0,2025-09-19 16:00,2025-09-21 10:00,2025-09-21 10:10,2025-09-21 12:00
2,0,2,0,2,PENDING,0,2025-09-20 15:00,2025-09-21 11:00,2025-09-21 11:10,2025-09-21 13:00
3,0,0,0,0,PENDING,0,2025-09-28 15:00,2025-09-29 08:00,2025-09-29 08:10,2025-09-29 11:00
4,0,1,0,1,PENDING,0,2025-09-27 13:00,2025-09-29 09:00,2025-09-29 09:10,2025-09-29 12:00
5,0,2,0,2,PENDING,0,2025-09-27 16:00,2025-09-29 10:00,2025-09-29 10:00,2025-09-29 12:00
6,0,3,0,1,PENDING,0,2025-09-28 12:00,2025-09-29 13:00,2025-09-29 13:10,2025-09-29 16:00
7,0,0;2,0,0,PENDING,0,2025-09-27 16:00,2025-09-29 14:00,2025-09-29 14:10,2025-09-29 16:00
8,0,1;2,0,0,PENDING,5000,2025-10-15 09:00,2025-11-12 10:00,2025-11-12 09:30,2025-11-12 14:00
9,0,3,0,1,IN_PROGRESS,1000,2025-11-15 10:30,2025-11-14 11:00,2025-11-14 10:45,2025-11-14 13:00
10,0,0;2,0,2,COMPLETED,2500,2025-10-14 14:00,2025-11-13 09:00,2025-11-13 08:45,2025-11-13 16:00
11,0,0;3,0,1,PENDING,900,2025-10-15 10:00,2025-11-12 11:00,2025-11-12 10:30,2025-11-12 13:00
